palabra1,palabra2,compuesta,Clase
ham,pesto,ham pesto,0
rib,onion,rib onion,0
little,spicy,little spicy,0
vega,love,vega love,0
coconut,mango,coconut mango,0
meat,pie,meat pie,0
pea,lemonade,pea lemonade,0
walnut,crisp,walnut crisp,1
free,tea,free tea,0
glazed,muffin,glazed muffin,0
horchatum,love,horchatum love,0
gourmet,food,gourmet food,0
wing,crispy,wing crispy,1
lamb,filet,lamb filet,0
special,corned,special corned,1
vegan,ravioli,vegan ravioli,1
steakhouse,burger,steakhouse burger,0
half,red,half red,0
chicken,juicy,chicken juicy,0
tasty,dressing,tasty dressing,0
potato,spicy,potato spicy,1
garden,pea,garden pea,0
sauce,bbq,sauce bbq,0
baked,filet,baked filet,0
tenderloin,pepper,tenderloin pepper,0
curry,iberico,curry iberico,0
toast,truffle,toast truffle,0
ham,little,ham little,0
foodie,beet,foodie beet,0
side,sweet,side sweet,0
cake,mousse,cake mousse,0
mixed,grill,mixed grill,0
seed,pudding,seed pudding,0
hot,fried,hot fried,0
cabbage,avocado,cabbage avocado,0
japanese,sea,japanese sea,0
box,bakery,box bakery,0
bibimbap,rice,bibimbap rice,0
sandwich,bruschettum,sandwich bruschettum,0
tasty,fatty,tasty fatty,0
arugula,sandwich,arugula sandwich,0
soy,fritter,soy fritter,0
hot,mustard,hot mustard,0
pancake,combo,pancake combo,0
cucumber,onion,cucumber onion,0
bacon,boiled,bacon boiled,0
endoedible,churro,endoedible churro,0
beef,shank,beef shank,1
celery,puree,celery puree,1
shortcake,donut,shortcake donut,0
tray,goody,tray goody,1
yam,maki,yam maki,0
pecan,pork,pecan pork,0
cherry,pecan,cherry pecan,0
toast,grape,toast grape,1
cake,slice,cake slice,0
sourdough,brioche,sourdough brioche,0
juice,bacon,juice bacon,0
roll,seafood,roll seafood,0
hazelnut,dulce,hazelnut dulce,1
friend,nut,friend nut,0
ricottum,warm,ricottum warm,0
served,sunday,served sunday,0
hot,dish,hot dish,0
strip,french,strip french,0
grilled,hollandaise,grilled hollandaise,1
pickle,masala,pickle masala,0
tuna,radish,tuna radish,0
shrimp,andouille,shrimp andouille,0
chicken,gravy,chicken gravy,1
belly,bowl,belly bowl,0
confit,rice,confit rice,0
butter,thyme,butter thyme,0
savory,cooked,savory cooked,0
crostini,lemon,crostini lemon,0
salad,enchilada,salad enchilada,0
set,roll,set roll,0
bacon,sweet,bacon sweet,1
seafood,steak,seafood steak,0
half,dessert,half dessert,0
cottum,grilled,cottum grilled,0
chilli,chicken,chilli chicken,0
berry,lemon,berry lemon,0
sour,grape,sour grape,0
baked,cooky,baked cooky,0
cinnamon,raisin,cinnamon raisin,0
hash,deliciou,hash deliciou,0
donut,cake,donut cake,0
chipotle,glazed,chipotle glazed,0
black,blue,black blue,0
pickled,cherry,pickled cherry,0
mignon,pomodoro,mignon pomodoro,0
angel,tasty,angel tasty,0
grill,pea,grill pea,0
chicken,chorizo,chicken chorizo,1
lobster,pad,lobster pad,0
classic,milk,classic milk,0
buttermilk,cream,buttermilk cream,0
parmesan,spice,parmesan spice,0
snow,mochi,snow mochi,0
order,piece,order piece,0
special,box,special box,0
carrot,deliciou,carrot deliciou,1
stuffed,grape,stuffed grape,0
banana,cream,banana cream,0
parmesan,meatball,parmesan meatball,0
truffle,popcorn,truffle popcorn,0
meat,ball,meat ball,0
salad,beef,salad beef,1
shrimp,steam,shrimp steam,0
squash,pomegranate,squash pomegranate,0
cupcake,maple,cupcake maple,0
vanilla,mousse,vanilla mousse,0
osterium,pastum,osterium pastum,1
order,burrito,order burrito,0
takoyaki,set,takoyaki set,0
order,lunch,order lunch,0
rice,bean,rice bean,0
chipotle,buttermilk,chipotle buttermilk,0
traditional,taiyaki,traditional taiyaki,0
vegetable,californium,vegetable californium,0
smoked,pecan,smoked pecan,0
pistachio,nutella,pistachio nutella,0
grapefruit,strawberry,grapefruit strawberry,1
sandwich,topped,sandwich topped,0
small,maple,small maple,0
roasted,seaweed,roasted seaweed,0
dessert,sugar,dessert sugar,0
edamame,flavor,edamame flavor,0
crab,piece,crab piece,0
onion,sunny,onion sunny,0
bowl,roll,bowl roll,0
bowl,romaine,bowl romaine,0
shaving,yummy,shaving yummy,0
basil,mascarpone,basil mascarpone,0
chili,slaw,chili slaw,0
jasmine,crispy,jasmine crispy,0
butter,milk,butter milk,0
charcuterie,meat,charcuterie meat,0
brew,cookie,brew cookie,0
style,garlic,style garlic,0
marshmallow,banana,marshmallow banana,0
ranch,wrap,ranch wrap,0
bowl,small,bowl small,0
combination,sweet,combination sweet,0
raspberry,love,raspberry love,0
egg,fat,egg fat,0
chef,omelet,chef omelet,0
breakfast,ice,breakfast ice,0
half,fish,half fish,0
platter,friend,platter friend,0
famou,popcorn,famou popcorn,0
brioche,butter,brioche butter,0
served,fresh,served fresh,0
truffle,risotto,truffle risotto,0
burger,french,burger french,0
wine,pan,wine pan,0
edamame,sea,edamame sea,0
clam,cucumber,clam cucumber,0
balsamic,chicken,balsamic chicken,0
seed,garlic,seed garlic,0
monkey,waffle,monkey waffle,0
love,hot,love hot,0
empanada,cotton,empanada cotton,0
biscuit,gravy,biscuit gravy,0
thick,broth,thick broth,0
pound,gluten,pound gluten,0
pork,broth,pork broth,1
bagel,platter,bagel platter,0
pastum,chef,pastum chef,0
fish,fried,fish fried,1
salmon,combo,salmon combo,0
stuffed,cream,stuffed cream,0
onion,cheddar,onion cheddar,0
corn,potato,corn potato,0
iced,latte,iced latte,0
parfait,salty,parfait salty,0
pea,rice,pea rice,0
beef,minced,beef minced,1
egg,spam,egg spam,0
guava,dried,guava dried,0
house,smoked,house smoked,0
salad,roasted,salad roasted,0
grill,phoenix,grill phoenix,0
bean,salad,bean salad,1
sugar,pop,sugar pop,0
extra,nori,extra nori,0
brisket,biscuit,brisket biscuit,0
house,bean,house bean,0
lobster,ball,lobster ball,0
purple,ice,purple ice,1
soup,filling,soup filling,0
burger,mixed,burger mixed,0
red,pork,red pork,1
walnut,pancake,walnut pancake,1
big,super,big super,0
candy,dessert,candy dessert,0
benedict,smoothie,benedict smoothie,0
roll,condensed,roll condensed,0
squash,mexican,squash mexican,0
happy,grill,happy grill,0
meatball,fry,meatball fry,0
truffle,soup,truffle soup,1
pound,brisket,pound brisket,0
mini,grilled,mini grilled,1
paste,walnut,paste walnut,0
pancake,agave,pancake agave,1
half,fry,half fry,0
bread,flavorful,bread flavorful,0
bacon,bomb,bacon bomb,0
beef,enchilada,beef enchilada,1
melted,mozzarella,melted mozzarella,1
sliced,almond,sliced almond,0
bolognese,lasagna,bolognese lasagna,0
bowl,tuna,bowl tuna,0
brisket,panini,brisket panini,0
brisket,mushroom,brisket mushroom,0
dessert,food,dessert food,0
pork,juicy,pork juicy,1
sushi,gyoza,sushi gyoza,0
warm,house,warm house,0
pepper,happy,pepper happy,0
bowl,extra,bowl extra,0
filled,cake,filled cake,0
glazed,endoedible,glazed endoedible,0
chicken,sausage,chicken sausage,1
berry,caramel,berry caramel,0
syrup,artisan,syrup artisan,0
egg,shredded,egg shredded,0
taco,cinnamon,taco cinnamon,0
garden,lemon,garden lemon,0
tuna,cracker,tuna cracker,0
crab,mango,crab mango,0
bulgogi,beef,bulgogi beef,1
style,lunch,style lunch,0
crab,mix,crab mix,0
macaron,lemon,macaron lemon,0
fish,chinese,fish chinese,0
pear,danish,pear danish,0
salmon,shrimp,salmon shrimp,0
rice,flavor,rice flavor,0
tonkotsu,extra,tonkotsu extra,0
short,infused,short infused,0
seafood,crab,seafood crab,0
rice,soft,rice soft,0
rib,hot,rib hot,0
beef,grilled,beef grilled,1
raisin,half,raisin half,0
salad,pomegranate,salad pomegranate,1
vegetarian,sushi,vegetarian sushi,0
turkey,sausage,turkey sausage,0
cheese,yummy,cheese yummy,1
black,crab,black crab,0
rice,fruit,rice fruit,0
omakase,sushi,omakase sushi,0
potato,vegan,potato vegan,0
oil,black,oil black,0
sicilian,meatball,sicilian meatball,0
pizza,vanilla,pizza vanilla,0
caramel,cream,caramel cream,1
coffee,honey,coffee honey,0
flavorful,bowl,flavorful bowl,0
syrup,caramel,syrup caramel,0
taiyaki,red,taiyaki red,1
set,fatty,set fatty,0
deliciou,cinnamon,deliciou cinnamon,0
cheesy,sandwich,cheesy sandwich,0
entree,sticky,entree sticky,0
vegan,cauliflower,vegan cauliflower,0
octopus,duck,octopus duck,0
bbq,sandwich,bbq sandwich,0
famou,pad,famou pad,0
served,couscou,served couscou,0
cream,truffle,cream truffle,1
appetizer,steak,appetizer steak,0
salad,vega,salad vega,0
relleno,egg,relleno egg,1
cherry,almond,cherry almond,0
treat,house,treat house,0
southern,chicken,southern chicken,0
dipped,cheesecake,dipped cheesecake,0
vegan,fajitum,vegan fajitum,0
cheese,salty,cheese salty,1
chilled,tofu,chilled tofu,0
queso,salsa,queso salsa,0
yummy,mediterranean,yummy mediterranean,0
bowl,tofu,bowl tofu,0
tempura,topping,tempura topping,0
pea,falafel,pea falafel,0
seed,salad,seed salad,0
date,super,date super,0
greek,burger,greek burger,0
roasted,turkey,roasted turkey,0
mix,yummy,mix yummy,0
char,burger,char burger,0
tostada,nacho,tostada nacho,0
poached,crab,poached crab,0
croissant,buttery,croissant buttery,0
sorbet,watermelon,sorbet watermelon,0
couscou,tomato,couscou tomato,0
breaded,wing,breaded wing,0
mexican,cream,mexican cream,0
wrapped,sauce,wrapped sauce,0
prosciutto,mozzarella,prosciutto mozzarella,0
nutella,road,nutella road,0
smoked,chorizo,smoked chorizo,0
slice,cheese,slice cheese,0
rosemary,gelato,rosemary gelato,0
fillet,mushroom,fillet mushroom,0
edge,sausage,edge sausage,1
prosciutto,aged,prosciutto aged,0
duck,flavor,duck flavor,0
tart,cranberry,tart cranberry,0
citru,spice,citru spice,0
rice,vegetable,rice vegetable,0
breast,ground,breast ground,0
onion,roasted,onion roasted,0
ginger,vegetable,ginger vegetable,0
chili,spaghetti,chili spaghetti,0
white,corn,white corn,0
super,spicy,super spicy,0
filling,roll,filling roll,0
paneer,masala,paneer masala,0
seasonal,dessert,seasonal dessert,0
pork,apricot,pork apricot,0
rib,seared,rib seared,0
fresh,fry,fresh fry,1
brunch,hot,brunch hot,0
aioli,confit,aioli confit,0
custard,peanut,custard peanut,0
half,yummy,half yummy,0
wheat,mushroom,wheat mushroom,0
roe,rice,roe rice,0
roll,donut,roll donut,0
gnocchi,pomodoro,gnocchi pomodoro,0
meat,quarter,meat quarter,0
mango,salad,mango salad,1
yellow,honey,yellow honey,0
free,texa,free texa,0
fry,hash,fry hash,0
special,extra,special extra,0
breakfast,super,breakfast super,0
pizza,asparagu,pizza asparagu,0
base,raspberry,base raspberry,0
steak,chimichurri,steak chimichurri,0
crab,lobster,crab lobster,0
chip,santum,chip santum,0
juicy,dessert,juicy dessert,0
sashimi,hamachi,sashimi hamachi,0
fresh,crab,fresh crab,1
white,truffle,white truffle,0
waffle,homemade,waffle homemade,0
tempura,asparagu,tempura asparagu,0
fresh,crawfish,fresh crawfish,0
lech,pancake,lech pancake,0
chip,guacamole,chip guacamole,0
red,bird,red bird,0
filet,shrimp,filet shrimp,0
tartare,dressing,tartare dressing,0
toffee,marium,toffee marium,0
cajun,pastum,cajun pastum,0
piece,pork,piece pork,1
nutella,pop,nutella pop,0
stuffed,octopus,stuffed octopus,1
tea,free,tea free,0
halibut,seasonal,halibut seasonal,0
beef,soup,beef soup,1
veal,parmigiana,veal parmigiana,0
shawarma,zucchini,shawarma zucchini,0
stick,sushi,stick sushi,0
rose,salted,rose salted,0
share,piece,share piece,0
benedict,bacon,benedict bacon,0
blossom,tea,blossom tea,0
bruschettum,burratum,bruschettum burratum,0
cornbread,vegetarian,cornbread vegetarian,0
octopus,carpaccio,octopus carpaccio,0
lemon,berry,lemon berry,0
fired,italian,fired italian,0
donut,serf,donut serf,0
super,sauce,super sauce,0
bread,muffin,bread muffin,0
jambalaya,linguini,jambalaya linguini,1
chorizo,marinara,chorizo marinara,0
cold,sweet,cold sweet,0
matcha,pistachio,matcha pistachio,0
french,butter,french butter,0
churro,taco,churro taco,0
escargot,buttery,escargot buttery,0
famou,scallop,famou scallop,0
cucumber,salmon,cucumber salmon,0
spinach,apple,spinach apple,0
fruity,chili,fruity chili,0
edamame,truffle,edamame truffle,0
seared,scallop,seared scallop,0
pickle,brown,pickle brown,1
salmon,burger,salmon burger,1
breast,cheese,breast cheese,1
coconut,roasted,coconut roasted,0
deliciou,split,deliciou split,0
fried,chocolate,fried chocolate,1
winter,seafood,winter seafood,0
raspberry,bread,raspberry bread,0
dinner,served,dinner served,0
baked,lasagna,baked lasagna,0
piccatum,broccolini,piccatum broccolini,0
sunday,buffet,sunday buffet,0
black,wrap,black wrap,0
cookie,dusted,cookie dusted,1
roasted,bacon,roasted bacon,0
rose,love,rose love,0
honey,sesame,honey sesame,0
shot,parmesan,shot parmesan,0
matcha,macaron,matcha macaron,0
charcoal,mix,charcoal mix,0
salad,chestnut,salad chestnut,1
large,chicken,large chicken,0
fried,chilli,fried chilli,1
red,py,red py,0
carbonara,pie,carbonara pie,0
vanilla,daz,vanilla daz,1
steamed,mini,steamed mini,0
housemade,crunchy,housemade crunchy,0
chicken,medium,chicken medium,1
super,pure,super pure,0
strawberry,watermelon,strawberry watermelon,0
pistachio,brioche,pistachio brioche,0
lemon,almond,lemon almond,0
pancake,love,pancake love,0
filled,charcoal,filled charcoal,0
edamame,sesame,edamame sesame,0
pork,pastum,pork pastum,1
cocktail,crispy,cocktail crispy,0
cheese,queso,cheese queso,0
garlic,ginger,garlic ginger,0
chop,lentil,chop lentil,0
homemade,bacon,homemade bacon,0
chip,pitum,chip pitum,0
chocolate,glazed,chocolate glazed,1
sriracha,fry,sriracha fry,0
egg,small,egg small,0
coleslaw,dressing,coleslaw dressing,0
parmesan,quiche,parmesan quiche,0
scallop,vermicelli,scallop vermicelli,1
salmon,gyoza,salmon gyoza,0
chili,rice,chili rice,0
baked,pastry,baked pastry,0
chicken,fruit,chicken fruit,0
soup,potato,soup potato,0
frosting,shredded,frosting shredded,0
spicy,meat,spicy meat,1
order,beef,order beef,0
topped,fresh,topped fresh,0
cheese,galbi,cheese galbi,0
pea,prosciutto,pea prosciutto,0
dark,pork,dark pork,0
asada,taco,asada taco,0
burratum,roasted,burratum roasted,0
date,wonton,date wonton,0
baked,waffle,baked waffle,0
cucumber,roll,cucumber roll,0
bbq,bacon,bbq bacon,0
vegan,vanilla,vegan vanilla,0
dry,pork,dry pork,0
truffle,dessert,truffle dessert,0
house,bun,house bun,0
curd,french,curd french,0
coconut,drink,coconut drink,1
californium,spicy,californium spicy,0
spiced,watermelon,spiced watermelon,0
avocado,ball,avocado ball,0
half,ordered,half ordered,1
extra,olive,extra olive,1
santum,marinated,santum marinated,0
milk,cream,milk cream,0
orange,tomato,orange tomato,0
banana,condensed,banana condensed,0
grill,pancake,grill pancake,0
bacon,white,bacon white,0
rigatoni,pastum,rigatoni pastum,1
blackberry,rib,blackberry rib,0
house,seafood,house seafood,0
octopus,pumpkin,octopus pumpkin,0
filet,mackerel,filet mackerel,0
fresh,half,fresh half,0
latte,coconut,latte coconut,1
salmon,tartare,salmon tartare,0
thai,food,thai food,0
chip,fry,chip fry,1
ketchup,mixed,ketchup mixed,1
pesto,fettuccine,pesto fettuccine,1
salmon,soft,salmon soft,0
lime,donut,lime donut,0
roasted,sliced,roasted sliced,0
yummy,lemon,yummy lemon,0
grilled,cheesy,grilled cheesy,1
cookie,cinnamon,cookie cinnamon,0
frijole,rice,frijole rice,0
egg,sourdough,egg sourdough,0
caramel,breakfast,caramel breakfast,0
chicken,pickled,chicken pickled,1
pork,style,pork style,0
roll,half,roll half,0
salsa,pico,salsa pico,0
queso,guava,queso guava,0
lunch,meatloaf,lunch meatloaf,0
raw,lobster,raw lobster,0
vietnamese,roll,vietnamese roll,0
filling,cream,filling cream,1
radish,edamame,radish edamame,0
strawberry,crisp,strawberry crisp,0
mild,italian,mild italian,0
gyoza,tea,gyoza tea,0
toast,entree,toast entree,0
mochi,deliciou,mochi deliciou,0
citru,chipotle,citru chipotle,0
sauce,topping,sauce topping,1
grilled,bbq,grilled bbq,1
arugula,sliced,arugula sliced,0
lotu,yuzu,lotu yuzu,0
yuzu,jam,yuzu jam,0
corn,cookie,corn cookie,1
slice,turkey,slice turkey,1
meatloaf,dinner,meatloaf dinner,0
brownie,topped,brownie topped,0
nori,seaweed,nori seaweed,0
belly,sushi,belly sushi,0
cabbage,beet,cabbage beet,0
toast,potato,toast potato,0
bear,snow,bear snow,0
yogurt,wheat,yogurt wheat,0
couscou,cucumber,couscou cucumber,0
combo,sweet,combo sweet,0
steak,lamb,steak lamb,0
syrup,crema,syrup crema,0
cold,bite,cold bite,0
golden,caviar,golden caviar,0
caramel,ice,caramel ice,0
sashimi,pork,sashimi pork,1
strawberry,rolled,strawberry rolled,0
sushi,tiger,sushi tiger,0
garlic,fresh,garlic fresh,0
banana,more,banana more,0
spaghetti,meat,spaghetti meat,0
vietnamese,steamed,vietnamese steamed,0
house,charcuterie,house charcuterie,0
pepper,japanese,pepper japanese,0
box,blueberry,box blueberry,0
pudding,chocolate,pudding chocolate,0
pepper,crispy,pepper crispy,0
tasty,sweet,tasty sweet,0
free,breast,free breast,0
truffle,carbonara,truffle carbonara,0
toro,vega,toro vega,0
couscou,pistachio,couscou pistachio,0
yummy,nutella,yummy nutella,0
grilled,fillet,grilled fillet,1
pork,poached,pork poached,1
jesu,special,jesu special,1
cone,piece,cone piece,0
flavorful,green,flavorful green,0
raw,cheesecake,raw cheesecake,0
beet,puree,beet puree,0
dark,cup,dark cup,0
garlic,mushroom,garlic mushroom,0
veal,crispy,veal crispy,0
special,grill,special grill,0
seasonal,cheesecake,seasonal cheesecake,0
filet,crab,filet crab,1
corn,charred,corn charred,0
coffee,sugar,coffee sugar,0
halibut,sandwich,halibut sandwich,0
double,chop,double chop,0
unique,tofu,unique tofu,0
coconut,bun,coconut bun,1
seared,spicy,seared spicy,0
marinara,parmesan,marinara parmesan,1
cinnamon,infused,cinnamon infused,0
smoked,salt,smoked salt,0
salmon,special,salmon special,0
crepe,espresso,crepe espresso,0
fried,dragon,fried dragon,0
squash,cabbage,squash cabbage,0
chocolate,food,chocolate food,0
ribeye,sea,ribeye sea,0
smoked,corn,smoked corn,0
shank,cranberry,shank cranberry,0
cake,friend,cake friend,0
salmon,benedict,salmon benedict,0
chicken,special,chicken special,0
pancake,mushroom,pancake mushroom,0
duck,platter,duck platter,0
pear,cheesecake,pear cheesecake,0
seafood,hot,seafood hot,1
pancake,pickled,pancake pickled,0
peanut,sauce,peanut sauce,1
mango,aioli,mango aioli,0
cake,mango,cake mango,1
rock,bun,rock bun,0
plate,southern,plate southern,0
chinese,salad,chinese salad,0
braised,rib,braised rib,0
topped,tomato,topped tomato,0
roasted,vegetable,roasted vegetable,1
ball,appetizer,ball appetizer,0
mixed,vegetable,mixed vegetable,0
oil,wonton,oil wonton,0
grilled,deliciou,grilled deliciou,0
generou,graham,generou graham,0
gnocchi,pesto,gnocchi pesto,0
cream,cheesecake,cream cheesecake,0
korean,beef,korean beef,0
coconut,base,coconut base,0
mushroom,pork,mushroom pork,0
slaw,potato,slaw potato,0
skewer,served,skewer served,0
quesadilla,special,quesadilla special,0
steak,potato,steak potato,0
muffin,valley,muffin valley,0
seasonal,onion,seasonal onion,0
ice,seasonal,ice seasonal,0
rib,roast,rib roast,1
shrimp,vegetable,shrimp vegetable,0
wing,waffle,wing waffle,0
tuna,lunch,tuna lunch,0
matcha,latte,matcha latte,0
mushroom,breakfast,mushroom breakfast,0
peanut,spicy,peanut spicy,0
spicy,tuna,spicy tuna,0
banana,honey,banana honey,0
basil,deliciou,basil deliciou,0
bread,red,bread red,0
fatty,duck,fatty duck,0
tonkotsu,noodle,tonkotsu noodle,0
scallop,calamari,scallop calamari,0
wing,taco,wing taco,0
pizza,chocolate,pizza chocolate,0
spinach,pastum,spinach pastum,0
edge,shot,edge shot,0
monster,bourbon,monster bourbon,0
minu,blue,minu blue,0
baguette,dipping,baguette dipping,0
nutella,fresh,nutella fresh,0
cactu,salad,cactu salad,0
roll,potato,roll potato,0
smoked,lox,smoked lox,0
infamou,rice,infamou rice,0
cookie,tray,cookie tray,0
custard,cream,custard cream,0
sweet,sour,sweet sour,1
guacamole,deviled,guacamole deviled,0
rigatoni,pesto,rigatoni pesto,0
veggie,gyoza,veggie gyoza,0
ribeye,porchettum,ribeye porchettum,0
chilaquile,deliciou,chilaquile deliciou,0
iberico,broccolini,iberico broccolini,0
curd,croissant,curd croissant,0
pretzel,caramel,pretzel caramel,1
cream,animal,cream animal,0
gravy,red,gravy red,0
pizza,pastum,pizza pastum,0
soi,duck,soi duck,0
grilled,fish,grilled fish,1
get,sliced,get sliced,0
mackerel,salt,mackerel salt,0
arugula,lemon,arugula lemon,1
edamame,order,edamame order,0
mozzarella,cheddar,mozzarella cheddar,0
shrimp,white,shrimp white,1
apple,vinegar,apple vinegar,1
noodle,combo,noodle combo,0
sweet,pork,sweet pork,1
small,piece,small piece,0
mexican,asada,mexican asada,0
deliciou,condiment,deliciou condiment,0
sundae,donut,sundae donut,0
buffalo,ranch,buffalo ranch,0
pig,spiced,pig spiced,0
vegan,salad,vegan salad,0
calamari,stick,calamari stick,0
chocolate,iced,chocolate iced,1
leg,deliciou,leg deliciou,0
chipotle,wrap,chipotle wrap,0
small,kalbi,small kalbi,0
cilantro,albacore,cilantro albacore,0
strawberry,glazed,strawberry glazed,1
yummy,small,yummy small,0
breast,crispy,breast crispy,1
seared,salmon,seared salmon,1
dog,butter,dog butter,0
yummy,banana,yummy banana,0
classic,margheritum,classic margheritum,0
oil,marinated,oil marinated,0
vanilla,crepe,vanilla crepe,0
huge,spicy,huge spicy,0
cheddar,macaroni,cheddar macaroni,0
pizza,donut,pizza donut,0
lavender,cream,lavender cream,0
pancake,peanut,pancake peanut,1
box,sesame,box sesame,0
marinated,tuna,marinated tuna,1
smoothie,drink,smoothie drink,1
wrap,salad,wrap salad,0
tomato,crispy,tomato crispy,0
coffee,crisp,coffee crisp,0
rib,roasted,rib roasted,1
box,portion,box portion,0
large,white,large white,0
plu,filling,plu filling,0
ganache,golden,ganache golden,0
apple,poached,apple poached,0
almond,custard,almond custard,1
asian,bite,asian bite,0
roasted,free,roasted free,0
truffle,black,truffle black,0
savoy,cocoa,savoy cocoa,0
sicilian,fennel,sicilian fennel,0
juice,fat,juice fat,0
plate,side,plate side,0
fish,scallop,fish scallop,0
mousse,olive,mousse olive,0
sesame,miso,sesame miso,0
large,piece,large piece,0
biscuit,achiote,biscuit achiote,1
octopus,nigiri,octopus nigiri,0
pie,pancake,pie pancake,0
mexican,tre,mexican tre,0
fruit,vega,fruit vega,0
pollo,hot,pollo hot,1
breakfast,omelette,breakfast omelette,0
combo,smoked,combo smoked,0
big,fry,big fry,0
boat,order,boat order,0
super,quinoa,super quinoa,0
bread,kalamatum,bread kalamatum,0
tofu,like,tofu like,0
served,cookie,served cookie,0
stew,topped,stew topped,0
classic,sashimi,classic sashimi,0
fetum,spinach,fetum spinach,0
chip,roasted,chip roasted,0
pickle,table,pickle table,0
brownie,chocolate,brownie chocolate,0
belly,duck,belly duck,0
octopus,ceviche,octopus ceviche,1
chicken,piece,chicken piece,1
salmon,house,salmon house,0
robatum,shishito,robatum shishito,0
scratch,pure,scratch pure,0
sampler,sweet,sampler sweet,0
wrap,cilantro,wrap cilantro,0
honey,sugar,honey sugar,0
box,apple,box apple,0
cocktail,fresh,cocktail fresh,0
extra,melted,extra melted,0
onion,blossom,onion blossom,0
white,pizza,white pizza,0
little,cooky,little cooky,0
greek,pizza,greek pizza,0
shrimp,khao,shrimp khao,0
pound,cake,pound cake,0
shrimp,seasoning,shrimp seasoning,0
ganache,popcorn,ganache popcorn,0
portion,pad,portion pad,0
cake,sour,cake sour,0
crisp,chicken,crisp chicken,1
sauce,molass,sauce molass,0
blue,super,blue super,0
soi,papaya,soi papaya,0
red,pizza,red pizza,0
ribeye,burger,ribeye burger,1
pickled,mango,pickled mango,0
mini,salad,mini salad,1
avocado,albacore,avocado albacore,0
pitum,fry,pitum fry,0
filling,split,filling split,0
guacamole,rice,guacamole rice,0
white,maple,white maple,0
tofu,avocado,tofu avocado,0
tortilla,stuffed,tortilla stuffed,0
alba,truffle,alba truffle,0
fry,herb,fry herb,0
served,cherry,served cherry,0
fried,pepper,fried pepper,0
tofu,fritter,tofu fritter,0
corn,dog,corn dog,0
rice,nori,rice nori,0
greek,style,greek style,0
platter,hummu,platter hummu,0
bacon,pistachio,bacon pistachio,0
californium,topped,californium topped,0
tuna,super,tuna super,0
raman,special,raman special,0
breakfast,cream,breakfast cream,0
style,lamb,style lamb,0
meatball,pomodoro,meatball pomodoro,0
chilli,calamari,chilli calamari,0
salmon,steak,salmon steak,1
cookie,chef,cookie chef,0
tray,large,tray large,0
vermicelli,chicken,vermicelli chicken,0
honey,miso,honey miso,0
waffle,strawberry,waffle strawberry,0
chashu,rice,chashu rice,0
extra,tofu,extra tofu,0
beef,bacon,beef bacon,0
bone,brussel,bone brussel,0
gravy,rice,gravy rice,0
banyul,onion,banyul onion,0
spinach,lemon,spinach lemon,0
belly,juicy,belly juicy,0
fried,asparagu,fried asparagu,0
sundae,banana,sundae banana,1
rib,combo,rib combo,0
topped,quail,topped quail,0
food,chilaquile,food chilaquile,0
gremolatum,chicken,gremolatum chicken,1
oil,ricottum,oil ricottum,0
clam,pastum,clam pastum,0
endoedible,strawberry,endoedible strawberry,0
sour,entree,sour entree,0
maple,thai,maple thai,0
fried,order,fried order,0
breakfast,special,breakfast special,0
salsa,brussel,salsa brussel,1
sashimi,buttery,sashimi buttery,0
nutella,super,nutella super,0
coleslaw,salad,coleslaw salad,1
quesadilla,mix,quesadilla mix,0
breakfast,taquito,breakfast taquito,0
preserf,buttermilk,preserf buttermilk,0
cilantro,romaine,cilantro romaine,0
coconut,crusted,coconut crusted,0
pear,house,pear house,0
pickled,radish,pickled radish,0
hot,chili,hot chili,1
filling,deliciou,filling deliciou,0
slice,alfredo,slice alfredo,0
chip,cupcake,chip cupcake,0
poblano,queso,poblano queso,0
bread,plate,bread plate,0
veggie,entree,veggie entree,0
spicy,kale,spicy kale,0
egg,spicy,egg spicy,0
scratch,bagel,scratch bagel,0
vegetable,pastry,vegetable pastry,0
bun,grilled,bun grilled,1
bacon,avocado,bacon avocado,0
potato,curry,potato curry,0
chef,chopped,chef chopped,0
cupcake,cake,cupcake cake,0
vega,cinnamon,vega cinnamon,0
taco,parmesan,taco parmesan,0
beef,dish,beef dish,0
rib,ponzu,rib ponzu,0
mango,lemon,mango lemon,0
sesame,seed,sesame seed,0
hazelnut,tasty,hazelnut tasty,0
cheese,wrapped,cheese wrapped,0
roll,pepperoni,roll pepperoni,0
served,cotton,served cotton,0
nutella,dessert,nutella dessert,1
chocolate,frosting,chocolate frosting,1
love,goat,love goat,0
style,pizza,style pizza,0
mozzarella,ricottum,mozzarella ricottum,0
roll,order,roll order,0
chicken,toast,chicken toast,0
vodka,cream,vodka cream,0
yummy,noodle,yummy noodle,0
mackerel,aji,mackerel aji,0
nutella,maple,nutella maple,0
fish,beef,fish beef,0
pastor,traditional,pastor traditional,0
large,cake,large cake,0
hummu,pitum,hummu pitum,0
meal,soft,meal soft,0
onion,crab,onion crab,0
roasted,peking,roasted peking,0
craftkitchen,almond,craftkitchen almond,0
waffle,blend,waffle blend,0
kale,walnut,kale walnut,0
caramel,toasted,caramel toasted,1
dog,bun,dog bun,0
chocolate,mocha,chocolate mocha,0
tofu,pear,tofu pear,0
crisp,noodle,crisp noodle,1
burger,came,burger came,0
blue,appetizer,blue appetizer,0
spicy,sour,spicy sour,0
savory,sauce,savory sauce,1
treat,wrapped,treat wrapped,0
